Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Let's Make a Bus Route,6.06,7.28,913,N/A,2018,1.96,2,5,20,30,10,N/A,N/A
HATE,6.059,7.66,1063,N/A,2019,2.49,2,6,60,120,18,Thematic,N/A
The City,6.059,6.52,2414,N/A,2011,1.56,2,5,30,30,10,Family,N/A
Revolver,6.059,6.85,1475,N/A,2011,1.99,2,2,45,45,12,Thematic,N/A
Dawn of the Zeds (Second edition),6.059,7.82,653,N/A,2013,3.14,1,1,45,90,13,Thematic,N/A
Funemployed,6.059,6.69,1977,N/A,2013,1.18,3,20,30,30,13,Party,N/A
Dungeon Raiders,6.058,6.66,2066,N/A,2011,1.40,3,5,20,60,8,Family,Thematic
Four Gardens,6.058,7.05,1300,39.99,2020,2.31,2,4,45,45,10,Family,Strategy
Space Park,6.058,7.2,1041,22.49,2018,1.72,1,4,20,30,14,Family,Thematic
Ascension Tactics: Miniatures Deckbuilding Game,6.058,8.08,620,48.36,2022,2.50,1,4,60,60,N/A,N/A,N/A
Revolution: The Dutch Revolt 1568-1648,6.058,7.3,945,N/A,2004,4.24,2,5,240,480,12,Strategy,Wargames
The Guns of Gettysburg,6.058,7.84,655,N/A,2013,3.71,2,4,180,180,13,Wargames,N/A
Poseidon,6.057,6.97,1165,N/A,2010,3.54,2,5,90,120,12,Strategy,N/A
Star Wars Miniatures,6.057,6.9,1631,N/A,2004,2.31,2,2,60,60,12,Customizable,N/A
Pandemic: Contagion,6.056,6.42,3410,20.89,2014,1.89,2,5,30,30,14,Family,N/A
Sierra West,6.056,6.82,1491,42.95,2019,3.04,1,4,40,60,14,Strategy,N/A
Portal of Heroes,6.056,6.76,1652,N/A,2015,1.79,2,5,45,45,10,Family,N/A
Resurgence,6.055,7.82,634,N/A,2022,3.03,1,4,60,90,14,Strategy,N/A
Clue: The Great Museum Caper,6.055,6.79,1609,179.99,1991,1.93,2,7,30,30,10,Family,N/A
The Great Battles of Alexander: Deluxe Edition,6.055,7.7,710,N/A,1995,3.61,1,4,240,240,12,Wargames,N/A
Schotten Totten 2,6.055,7.16,1060,11.99,2020,2.00,2,2,20,20,8,Family,Strategy
